dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,direccion
01,001,01,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,4557,6962,11519,30,01COMUNA 1 POPULAR,KR 29 # 102 - 20
01,001,01,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,12002,7083,19085,50,01COMUNA 1 POPULAR,CL 106 # 32-100
01,001,01,03,ANTIOQUIA,MEDELLIN,INST.EDUC.MARIA DE LOS A.,3588,2845,6433,17,01COMUNA 1 POPULAR,CL 103 # 33D-75
01,001,01,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,4487,3518,8005,21,01COMUNA 1 POPULAR,CL 96 # 36-45
01,001,01,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,483,336,819,3,01COMUNA 1 POPULAR,Cra 39A N° 104-23
01,001,02,01,ANTIOQUIA,MEDELLIN,SEC.ESC. PABLO VI,5988,19101,25089,66,01COMUNA 1 POPULAR,KR 42B # 110 A 28
01,001,02,02,ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,9368,2105,11473,30,01COMUNA 1 POPULAR,CL 108 NO 43B - 17
01,001,02,03,ANTIOQUIA,MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VA,12052,4745,16797,44,01COMUNA 1 POPULAR,CALLE 95 N° 42B-44
01,001,02,04,ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,518,361,879,3,01COMUNA 1 POPULAR,Cra 45 N° 108-110
01,001,02,05,ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,581,451,1032,3,01COMUNA 1 POPULAR,Cra 42B 95A -23
01,001,03,01,ANTIOQUIA,MEDELLIN,INST. EDUC. ASIA IGNACIANA,6834,6274,13108,35,02COMUNA 2 SANTA CRUZ,CL 122 # 51B-30
01,001,03,02,ANTIOQUIA,MEDELLIN,SEC.ESC.  MANUEL URIBE ANGEL,7069,4757,11826,31,02COMUNA 2 SANTA CRUZ,KR 49A #107-65
01,001,03,03,ANTIOQUIA,MEDELLIN,SEC.ESC. REPUB. DE NICARAGUA,4582,3363,7945,21,02COMUNA 2 SANTA CRUZ,KR 48 # 103B-01
01,001,03,04,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA J.MARIA VELAZ,936,533,1469,4,02COMUNA 2 SANTA CRUZ,Calle  121 N° 48-67
01,001,04,01,ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ,4511,3538,8049,21,02COMUNA 2 SANTA CRUZ,CL 103 # 43A - 45
01,001,04,02,ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA,4919,3664,8583,23,02COMUNA 2 SANTA CRUZ,KR 49 # 98-48
01,001,04,03,ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE HONDURAS,4048,3027,7075,19,02COMUNA 2 SANTA CRUZ,KR 50B # 97A-30
01,001,05,01,ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE BARBADOS,7856,5683,13539,36,03COMUNA 3 MANRIQUE,KR 36 # 85B-140
01,001,05,02,ANTIOQUIA,MEDELLIN,I.E. SAN LORENZO DE ABURR,4754,3604,8358,22,03COMUNA 3 MANRIQUE,KR 39 # 80-33
01,001,05,03,ANTIOQUIA,MEDELLIN,I.E. MANUELA BELTRAN,12285,6449,18734,49,03COMUNA 3 MANRIQUE,KR 37 # 71-47
01,001,05,04,ANTIOQUIA,MEDELLIN,SEC.ESC.SAN JOSE(I.E. MAN BEL,4449,6986,11435,30,03COMUNA 3 MANRIQUE,CL 71 # 33-18
01,001,05,05,ANTIOQUIA,MEDELLIN,I.E.RAMON MUNERA LOPERA,984,668,1652,5,03COMUNA 3 MANRIQUE,Cra 30A N° 77- 04
01,001,06,01,ANTIOQUIA,MEDELLIN,I.E. JOSE ANTONIO GALAN,6322,5137,11459,30,03COMUNA 3 MANRIQUE,KR 44A NO 93-87
